Antibody,Repeat,MCF-7 ,ZR-75-1,T47D
Akt,AM,3570506,2866630,2900497
Akt,AO,3772584,3507459,3141523
Akt,AP,1141375,1197622,929446
Akt,AS,1541397,1112686,1162741
Akt,AU,1715637,1301924,1414905
Akt,AV,1853952,1332567,1341207
AktpT308,AM,2588572,2632904,2819443
AktpT308,AO,2945276,2886869,2796393
AktpT308,AP,2508484,3377805,2269467
AktpT308,AS,2862548,2766383,2812645
AktpT308,AU,2205583,2597775,1541372
AktpT308,AV,2571137,1257733,2255147
AktpS473,AM,2579086,1457521,2126576
AktpS473,AO,1685487,1245906,1691354
AktpS473,AP,2198961,1834442,2462331
AktpS473,AS,2270208,1943976,2438646
AktpS473,AU,3379051,1722615,3091227
AktpS473,AV,3884095,2204124,2985595
PRAS40,AM,6744032,5644545,6381403
PRAS40,AO,4644262,4596012,5260034
PRAS40,AP,3335175,3454018,3392709
PRAS40,AS,6216108,6282424,6227738
PRAS40,AU,3136010,3277386,3806677
PRAS40,AV,3045344,2456865,2525484
PRAS40pT246,AM,3399367,3888302,4621187
PRAS40pT246,AO,4977589,4681642,4880356
PRAS40pT246,AP,2889994,2920998,3443906
PRAS40pT246,AS,4653814,3778806,4114698
PRAS40pT246,AU,2903988,3069841,3320477
PRAS40pT246,AV,4994465,4775004,5988877
PRAS40pS183,AM,2786825,2697476,3258453
PRAS40pS183,AO,3239074,2634236,2214589
PRAS40pS183,AP,2395299,2101669,2175997
PRAS40pS183,AS,3137143,2931698,3305763
PRAS40pS183,AU,3833166,3139007,3362844
PRAS40pS183,AV,2497214,2078609,2534727
S6K,AM,7532482,2532580,2631401
S6K,AO,3316627,1589711,1805224
S6K,AP,3603965,2308300,2087879
S6K,AS,3413139,1816695,1869060
S6K,AU,5322631,2330133,2448238
S6K,AV,3948542,1970683,1934644
S6KpT389,AM,3519315,2188003,1274720
S6KpT389,AO,4975214,2911032,1447842
S6KpT389,AP,3712582,2363546,1501150
S6KpT389,AS,5698921,2915795,1329799
S6KpT389,AU,6213897,2870942,1315341
S6KpT389,AV,6490879,3458401,1993909
S6KpT230,AM,2359467,1388126,1639323
S6KpT230,AO,3563724,2159385,2131158
S6KpT230,AP,3601316,1599081,1933436
S6KpT230,AS,5809404,2108945,2149915
S6KpT230,AU,8290472,2924664,2360435
S6KpT230,AV,3150647,1899166,2039721
TSC2,AM,2810091,2909295,3793605
TSC2,AO,1575817,1921964,1926132
TSC2,AP,1975721,2067416,1992184
TSC2,AS,1865139,1669935,1746419
TSC2,AU,2149953,3090152,5633062
TSC2,AV,2294745,1903510,2568546
