Time	[IRS1]	[IRS1a]	[IRS1pS636_639]	[Akt]	[AktpT308]	[TSC2]	[TSC2pT1462]	[PRAS40]	[PRAS40pT246]	[S6K]	[S6KpT389]	[FourEBP1]	[FourEBP1pT37_46]	[PI3K]	[pPI3K]	[pmTORC1]	[mTORC1cyt]	[mTORC1lys]	Values[Insulin]	Values[AA]	Values[kIRS1Act]	Values[kIRS1Inact]	Values[kIRS1Phos]	Values[kPI3KPhos]	Values[kPI3KDephos]	Values[kAktPhos]	Values[kAktDephos]	Values[kTSC2Phos]	Values[kTSC2Dephos]	Values[kmTORC1cytToLys]	Values[kmTORC1LysToCyt]	Values[kmTORC1Phos]	Values[kmTORC1Dephos]	Values[kPras40Phos]	Values[kPras40Dephos]	Values[kFourEBP1Phos]	Values[kFourEBP1Dephos]	Values[kS6KPhos]	Values[kS6KDephos]
0	10	0	0	10	0	0	10	10	0	10	0	10	0	10	0	0	10	0	1	1	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5
0.01	9.95012	0.0498752	2.15787e-12	9.99998	2.07805e-05	0.0498752	9.95012	10	2.5963e-07	10	5.17443e-08	10	5.17443e-08	9.99875	0.00124576	4.13793e-06	9.95025	0.0497467	1	1	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5
0.02	9.9005	0.0995017	1.36691e-10	9.99983	0.000165808	0.0995016	9.9005	10	4.1413e-06	10	8.22468e-07	10	8.22468e-07	9.99503	0.00496556	3.2872e-05	9.90099	0.0989738	1	1	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5
0.03	9.85112	0.148881	1.54221e-09	9.99944	0.000558082	0.14888	9.85112	9.99998	2.08995e-05	10	4.13613e-06	10	4.13613e-06	9.98887	0.0111319	0.000110157	9.85223	0.147663	1	1	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5
0.04	9.80199	0.198013	8.59111e-09	9.99868	0.00131912	0.198012	9.80199	9.99993	6.58406e-05	9.99999	1.29847e-05	9.99999	1.29847e-05	9.98028	0.0197158	0.000259241	9.80395	0.195795	1	1	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5
0.05	9.7531	0.246901	3.2491e-08	9.99743	0.00256881	0.246898	9.7531	9.99984	0.000160215	9.99997	3.14868e-05	9.99997	3.14868e-05	9.96931	0.0306866	0.000502652	9.75614	0.243353	1	1	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5
0.06	9.70446	0.295545	9.61795e-08	9.99557	0.00442524	0.295537	9.70446	9.99967	0.000331101	9.99994	6.48461e-05	9.99994	6.48461e-05	9.95599	0.0440123	0.000862194	9.70882	0.290322	1	1	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5
0.07	9.65605	0.343946	2.40424e-07	9.993	0.00700449	0.343929	9.65607	9.99939	0.000611277	9.99988	0.000119309	9.99988	0.000119309	9.94034	0.0596595	0.00135894	9.66196	0.336684	1	1	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5
0.08	9.60789	0.392105	5.31037e-07	9.98958	0.0104204	0.392073	9.60793	9.99896	0.00103909	9.9998	0.000202124	9.9998	0.000202124	9.92241	0.0775933	0.00201321	9.61556	0.382425	1	1	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5
0.09	9.55997	0.440024	1.06712e-06	9.98522	0.0147843	0.439967	9.56003	9.99834	0.00165829	9.99968	0.000321496	9.99968	0.000321496	9.90222	0.0977776	0.00284459	9.56962	0.427531	1	1	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5
0.1	9.51229	0.487704	1.99028e-06	9.9798	0.020205	0.487607	9.51239	9.99748	0.00251788	9.99951	0.000486548	9.99951	0.000486548	9.87983	0.120175	0.00387191	9.52414	0.471989	1	1	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5
0.11	9.46485	0.535145	3.49467e-06	9.97321	0.026788	0.534991	9.46501	9.99633	0.00367195	9.99929	0.000707275	9.99929	0.000707275	9.85525	0.144747	0.00511322	9.4791	0.515786	1	1	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5
0.12	9.41765	0.582349	5.83783e-06	9.96536	0.0346357	0.582112	9.41789	9.99482	0.00517941	9.99901	0.000994503	9.99901	0.000994503	9.82855	0.171454	0.00658582	9.4345	0.55891	1	1	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5
0.13	9.37067	0.629316	9.35229e-06	9.95615	0.0438469	0.628966	9.37103	9.9929	0.00710387	9.99864	0.00135984	9.99864	0.00135984	9.79974	0.200255	0.00830622	9.39034	0.601351	1	1	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5
0.14	9.32394	0.676047	1.44577e-05	9.94548	0.0545165	0.675544	9.32446	9.99049	0.00951333	9.99818	0.00181565	9.99818	0.00181565	9.76889	0.231109	0.0102902	9.34661	0.643098	1	1	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5
0.15	9.27744	0.722543	2.16735e-05	9.93326	0.0667353	0.721839	9.27816	9.98752	0.0124799	9.99763	0.00237498	9.99763	0.00237498	9.73603	0.263972	0.0125526	9.30331	0.684142	1	1	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5
0.16	9.23116	0.768805	3.16322e-05	9.91941	0.0805894	0.76784	9.23216	9.98392	0.0160797	9.99695	0.00305153	9.99695	0.00305153	9.7012	0.298801	0.0151076	9.26042	0.724474	1	1	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5
0.17	9.18512	0.814832	4.5093e-05	9.90384	0.0961601	0.813538	9.18646	9.97961	0.0203922	9.99614	0.00385963	9.99614	0.00385963	9.66445	0.335552	0.0179686	9.21794	0.764087	1	1	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5
